dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,global_eval_auc_mean,global_eval_auc_std,global_eval_auc_ci95_low,global_eval_auc_ci95_high,global_eval_auc_n,global_eval_f1_mean,global_eval_f1_std,global_eval_f1_ci95_low,global_eval_f1_ci95_high,global_eval_f1_n,global_eval_ece_mean,global_eval_ece_std,global_eval_ece_ci95_low,global_eval_ece_ci95_high,global_eval_ece_n,cumulative_communication_bytes_mean,cumulative_communication_bytes_std,cumulative_communication_bytes_ci95_low,cumulative_communication_bytes_ci95_high,cumulative_communication_bytes_n,round_communication_bytes_mean,round_communication_bytes_std,round_communication_bytes_ci95_low,round_communication_bytes_ci95_high,round_communication_bytes_n,params_bytes_mean,params_bytes_std,params_bytes_ci95_low,params_bytes_ci95_high,params_bytes_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,11,0.822430493466087,0.002076249247672407,0.8206105807593239,0.8242504061728501,5,0.23125068625682924,0.011881161395898216,0.22083638911994236,0.24166498339371612,5,0.01475641715952702,0.003867475978734791,0.011366424997125998,0.018146409321928042,5,11616.0,0.0,11616.0,11616.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,12,0.8225144037623469,0.00206672244315548,0.820702841667927,0.8243259658567668,5,0.23330814460685684,0.010616571295166686,0.2240023095661023,0.2426139796476114,5,0.014190465112469242,0.0033242945235689757,0.011276592487952482,0.017104337736986,5,12672.0,0.0,12672.0,12672.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,13,0.822575157543269,0.002050684823406166,0.8207776530423682,0.8243726620441699,5,0.23311790654909742,0.009873977194321759,0.22446298393690126,0.24177282916129358,5,0.013894702391121377,0.0031057228392613696,0.011172416295079445,0.01661698848716331,5,13728.0,0.0,13728.0,13728.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,14,0.8226198300508093,0.0020647995877053596,0.8208099534135044,0.8244297066881142,5,0.23337428428167173,0.008977754869670842,0.22550493517349754,0.24124363338984592,5,0.013657644938532398,0.002893218747403362,0.011121626891687879,0.016193662985376917,5,14784.0,0.0,14784.0,14784.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,15,0.8226696800545458,0.0020541804186169636,0.8208691115293478,0.8244702485797437,5,0.23458016902500614,0.00852003830955835,0.2271120261712248,0.24204831187878748,5,0.013475368268108861,0.002782385239793965,0.011036500074086488,0.015914236462131234,5,15840.0,0.0,15840.0,15840.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,16,0.8227050381226768,0.0020415429418780065,0.8209155468342434,0.8244945294111102,5,0.23645731447431695,0.009493023030771897,0.22813631290927636,0.24477831603935754,5,0.01318324629006468,0.0025481090954639,0.01094973019065991,0.01541676238946945,5,16896.0,0.0,16896.0,16896.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,17,0.8227405724239407,0.0020341213200650624,0.8209575864738511,0.8245235583740304,5,0.23794307270165768,0.009746355447055263,0.22940001548316125,0.24648612992015412,5,0.012981948604187998,0.0022906920892426987,0.010974068459177463,0.014989828749198533,5,17952.0,0.0,17952.0,17952.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,18,0.822744463807016,0.0020447774462198694,0.8209521373505225,0.8245367902635096,5,0.2367429112089722,0.007168813935653697,0.23045916873992978,0.24302665367801463,5,0.01269530018020278,0.002370398203220838,0.010617554545873879,0.01477304581453168,5,19008.0,0.0,19008.0,19008.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,19,0.8227688999563153,0.0020444972945555693,0.8209768190635826,0.824560980849048,5,0.2388326832957095,0.008746201219098514,0.23116629991115756,0.24649906668026145,5,0.012518154412468601,0.002223459485128994,0.010569206243314276,0.014467102581622926,5,20064.0,0.0,20064.0,20064.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,20,0.8227768110098201,0.002048415094665076,0.8209812960138795,0.8245723260057608,5,0.23954293402825738,0.007940965834666117,0.2325823705782372,0.24650349747827757,5,0.012330335296346421,0.0023175550967036132,0.010298908687116913,0.01436176190557593,5,21120.0,0.0,21120.0,21120.0,5,1056.0,0.0,1056.0,1056.0,5,176.0,0.0,176.0,176.0,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,21,0.8217960531075912,0.001972301618455805,0.8195641837217276,0.8240279224934548,3,0.23961313801641237,0.011076492854456239,0.2270789063992657,0.25214736963355905,3,0.011419284725705766,0.0025172071958769805,0.008570796631500316,0.014267772819911217,3,22176.0,0.0,22176.0,22176.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,22,0.8218037049947241,0.0019867078209704014,0.8195555334560568,0.8240518765333914,3,0.2400279086559903,0.006753357865448283,0.23238576481215142,0.24767005249982918,3,0.011289480233724301,0.0025685740354396843,0.008382865088566914,0.014196095378881689,3,23232.0,0.0,23232.0,23232.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,23,0.8218055893502205,0.0020025044597537065,0.8195395422319918,0.8240716364684493,3,0.23837760684880324,0.006709259287440397,0.2307853652436965,0.24596984845390998,3,0.011345784289466468,0.0024704422667365,0.008550215694339683,0.014141352884593252,3,24288.0,0.0,24288.0,24288.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,24,0.8218126440748382,0.002009190416107996,0.8195390310847556,0.8240862570649209,3,0.2411158876726811,0.007535705744717219,0.23258843386179837,0.24964334148356385,3,0.011025312295905533,0.002527908437785642,0.00816471460650269,0.013885909985308377,3,25344.0,0.0,25344.0,25344.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,25,0.8218082566041324,0.0020204227535921488,0.8195219330276323,0.8240945801806324,3,0.2401991501296933,0.006513858653555668,0.23282802515738998,0.24757027510199664,3,0.011138024385114098,0.002375723452387374,0.008449640218592422,0.013826408551635775,3,26400.0,0.0,26400.0,26400.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
