dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,group_feature,group_value,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,selection_rate_mean,selection_rate_std,selection_rate_ci95_low,selection_rate_ci95_high,selection_rate_n,true_positive_rate_mean,true_positive_rate_std,true_positive_rate_ci95_low,true_positive_rate_ci95_high,true_positive_rate_n,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_ci95_low,false_positive_rate_ci95_high,false_positive_rate_n,demographic_parity_difference_mean,demographic_parity_difference_std,demographic_parity_difference_ci95_low,demographic_parity_difference_ci95_high,demographic_parity_difference_n,equalized_odds_difference_mean,equalized_odds_difference_std,equalized_odds_difference_ci95_low,equalized_odds_difference_ci95_high,equalized_odds_difference_n
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_isotonic,fixed_0p5,sex,male,22268.4,45.72526653831555,22228.320036726564,22308.47996327344,5,0.00807169965520688,0.01189003512686528,-0.002350375649817311,0.018493774960231073,5,0.03189513293324013,0.044901927718001514,-0.007463142044467352,0.07125340791094761,5,0.0037993690077610803,0.005956690660469962,-0.0014219005654365095,0.009020638580958671,5,0.0022849768727783,0.002833645683916772,-0.00019882308158931938,0.004768776827145919,5,0.00551918673174288,0.004392371165524006,0.0016691036524023903,0.00936926981108337,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,calib_f1_optimal,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.514562963166,5,0.16421027719443831,0.010673994950589146,0.15485410810044364,0.17356644628843299,5,0.5476499011152394,0.023762497041445726,0.5268211541049137,0.568478648125565,5,0.11730103325471164,0.00938397609988002,0.10907561553895413,0.12552645097046916,5,0.31841717491245936,0.029627175168860386,0.292447810870184,0.3443865389547347,5,0.3954769810848443,0.03646222439001997,0.3635164322448456,0.427437529924843,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,calib_f1_optimal,age_group,60_plus,24506.0,146.14547546879444,24377.897842641116,24634.102157358884,5,0.34491336401222256,0.03262597414806997,0.3163154367695463,0.3735112912548988,5,0.6626554160680892,0.04048471743706981,0.6271689966143388,0.6981418355218396,5,0.26743422179725435,0.030602331997474513,0.24061009510763734,0.2942583484868714,5,0.31841717491245936,0.029627175168860386,0.292447810870184,0.3443865389547347,5,0.3954769810848443,0.03646222439001997,0.3635164322448456,0.427437529924843,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,calib_f1_optimal,age_group,under_40,7626.2,77.63826376214244,7558.147061312534,7694.252938687466,5,0.026496189099763156,0.00451281625138822,0.02254053124779978,0.030451846951726532,5,0.2671784349832448,0.045268882452705175,0.2274985099988039,0.3068583599676857,5,0.01874202072829996,0.0031233197759307574,0.01600431023719533,0.02147973121940459,5,0.31841717491245936,0.029627175168860386,0.292447810870184,0.3443865389547347,5,0.3954769810848443,0.03646222439001997,0.3635164322448456,0.427437529924843,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,calib_f1_optimal,bmi_category,healthy,17133.0,74.89659538323488,17067.3502396044,17198.6497603956,5,0.06244841847228698,0.015631104484678734,0.04874715129335874,0.07614968565121522,5,0.28223681499262854,0.06279669518547566,0.22719308474738206,0.337280545237875,5,0.047979301677281865,0.012556418820724722,0.036973115310739366,0.05898548804382436,5,0.439621414186335,0.016776936911319155,0.4249157806022645,0.4543270477704055,5,0.6108336547513797,0.06719807423202681,0.5519319456709433,0.6697353638318162,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,calib_f1_optimal,bmi_category,obese,14726.6,61.096644752392095,14673.046429661506,14780.153570338494,5,0.4809947552844428,0.023190798141855675,0.4606671244541581,0.5013223861147276,5,0.7878970606519949,0.022508884297035472,0.7681671536607422,0.8076269676432477,5,0.37971318302671353,0.02418211356151832,0.35851662591954914,0.4009097401338779,5,0.439621414186335,0.016776936911319155,0.4249157806022645,0.4543270477704055,5,0.6108336547513797,0.06719807423202681,0.5519319456709433,0.6697353638318162,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,calib_f1_optimal,bmi_category,overweight,18245.0,57.745129664760476,18194.384162162423,18295.615837837577,5,0.19345812163157844,0.02280602176834357,0.1734677621631988,0.21344848109995807,5,0.5055052302813628,0.04766042447124846,0.4637290262913141,0.5472814342714116,5,0.14793003292582968,0.01884212939783006,0.13141417831346677,0.1644458875381926,5,0.439621414186335,0.016776936911319155,0.4249157806022645,0.4543270477704055,5,0.6108336547513797,0.06719807423202681,0.5519319456709433,0.6697353638318162,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,calib_f1_optimal,bmi_category,underweight,631.4,44.69116243733205,592.226468936283,670.5735310637169,5,0.04137334109810781,0.019437127281897552,0.024335947845369462,0.05841073435084615,5,0.17706340590061517,0.08455872795544957,0.10294441289129075,0.2511823989099396,5,0.03337970806671736,0.017247518700037823,0.01826159135817588,0.048497824775258845,5,0.439621414186335,0.016776936911319155,0.4249157806022645,0.4543270477704055,5,0.6108336547513797,0.06719807423202681,0.5519319456709433,0.6697353638318162,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,calib_f1_optimal,sex,female,28467.6,45.72526653831555,28427.52003672656,28507.679963273436,5,0.21038632493189618,0.018182950766305227,0.19444826586545996,0.2263243839983324,5,0.6086839076938124,0.03643193249993493,0.5767499108661693,0.6406179045214555,5,0.15108840278315622,0.015774180330852202,0.13726172409557896,0.16491508147073347,5,0.04642833007962276,0.007279404551377427,0.04004765066188305,0.05280900949736246,5,0.03986010761349198,0.0074439994945225945,0.03333515436695515,0.046385060860028804,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,calib_f1_optimal,sex,male,22268.4,45.72526653831555,22228.320036726564,22308.47996327344,5,0.256814655011519,0.0213726922256182,0.2380806642814829,0.27554864574155513,5,0.6249301721214062,0.031091366345092717,0.5976773879263034,0.652182956316509,5,0.19094851039664823,0.01938954273563445,0.173952826837718,0.20794419395557845,5,0.04642833007962276,0.007279404551377427,0.04004765066188305,0.05280900949736246,5,0.03986010761349198,0.0074439994945225945,0.03333515436695515,0.046385060860028804,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,fixed_0p5,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.514562963166,5,0.011466991863315078,0.009450274365736568,0.003183461155293294,0.019750522571336863,5,0.06314734194308906,0.04854827651963619,0.0205929013196506,0.10570178256652751,5,0.00520047776054364,0.004886141124531844,0.0009175862293163365,0.009483369291770943,5,0.02255546003113141,0.023465544557290215,0.0019870033495441655,0.04312391671271865,5,0.06292091190044342,0.05391013916867878,0.01566659144424864,0.1101752323566382,5
cdc,audit,3,non_iid,1.0,federated,fedprox,mlp,federated_sigmoid,fixed_0p5,age_group,60_plus,24506.0,146.14547546879444,24377.897842641116,24634.102157358884,5,0.02305136241000409,0.02396238916585369,0.0020474022273679823,0.044055322592640195,5,0.06765550808218165,0.06476747314843309,0.010884314787392484,0.12442670137697082,5,0.01213439056975354,0.013963494757676193,-0.0001051522350438202,0.024373933374550898,5,0.02255546003113141,0.023465544557290215,0.0019870033495441655,0.04312391671271865,5,0.06292091190044342,0.05391013916867878,0.01566659144424864,0.1101752323566382,5
