run_id,dataset,seed,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,experiment_track,client_id,decision_threshold,accuracy,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,log_loss,ece,selection_rate,roc_auc
cdc_seed43_c3_non_iid_a0p5_calib_f1_optimal,cdc,43,3,non_iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,audit,global,0.2305,0.799787133396405,0.3683851725607158,0.6115433583250813,0.830260837703529,0.7209020980143052,0.459795788130185,0.3950545247488016,0.0986179839654824,0.3175011089299251,0.0025283383518576,0.2312953327026174,0.822483403900719
cdc_seed43_c3_non_iid_a0p5_calib_f1_optimal,cdc,43,3,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,audit,global,0.1825,0.8007923368022706,0.3694119669876203,0.6078653274862074,0.8320241830215036,0.7199447552538555,0.4595476177744506,0.3963784684696207,0.1037805164317028,0.3309566942187283,0.0371881140976193,0.2292652160201829,0.8224962115788648
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,centralized,not_applicable,xgboost,none,calib_f1_optimal,audit,global,0.25,0.8164025543992431,0.3935545023696682,0.5873532324232564,0.8534820344882863,0.7204176334557714,0.4713093819172484,0.4323518969989071,0.0964184213186889,0.3105493728748623,0.002427712522016,0.2079391359192683,0.8325591882621555
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,centralized,not_applicable,xgboost,sigmoid,calib_f1_optimal,audit,global,0.1974,0.8204036581520026,0.399862758553083,0.577026453529495,0.859802596926741,0.718414525228118,0.4723798494499131,0.4323518969989071,0.0983496211580769,0.3224375233926509,0.0275125448682709,0.2010603910438347,0.8325591882621555
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,centralized,not_applicable,xgboost,isotonic,calib_f1_optimal,audit,global,0.2119,0.8107064017660044,0.3864552539639881,0.6102701938039327,0.8431538690544347,0.7267120314291837,0.4732338745063624,0.4221786776462516,0.0965260188762019,0.3117461414726792,0.0035297704451246,0.2200212866603595,0.8322685347957565
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,audit,global,0.2436,0.8192604856512141,0.3978609625668449,0.578865468948932,0.858176655140037,0.7185210620444845,0.4715915639045753,0.42939673021171,0.0967336160045844,0.3126518176828296,0.0074658512646003,0.2027160201829076,0.8311314552969611
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,centralized,not_applicable,gradient_boosting,sigmoid,calib_f1_optimal,audit,global,0.1875,0.8192407757805109,0.397822282714369,0.578865468948932,0.858153754551492,0.718509611750212,0.4715643906655142,0.42939673021171,0.0989755896467807,0.324821193292381,0.0308980620658686,0.2027357300536108,0.8311314552969611
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,audit,global,0.25,0.8091493219804478,0.3848458149779735,0.6179091809308247,0.840108090777933,0.7290086358543788,0.4742928497746891,0.4184474173757055,0.0967298865297094,0.312105203787606,0.0030004119408741,0.2237070324818669,0.8306079214078494
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,audit,global,0.2002,0.7883554083885209,0.3569813674280814,0.6477578158155326,0.8111159456798039,0.7294368807476683,0.4602935263369521,0.4032819190125385,0.0989723426344485,0.3195578055627352,0.0147057639459496,0.2528185115105645,0.8234541018282752
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,audit,global,0.15,0.7912724692526018,0.3600445186421814,0.6406846795869289,0.8156502622117389,0.7281674708993339,0.4610138436482084,0.4032819190125385,0.1016046315830378,0.3333574586513043,0.0382468111763305,0.2479304635761589,0.8234541018282752
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,audit,global,0.15,0.7903658152002523,0.3590230021342186,0.6425236950063659,0.8142991274875764,0.7284114112469711,0.4606490872210953,0.4032819190125385,0.1014142755455562,0.3335523040426445,0.0415336965210385,0.2493495742667928,0.8234541018282752
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,audit,global,0.2114,0.7978161463260801,0.3669586983729662,0.622153062667987,0.826253234708132,0.7242031486880595,0.4616353521570274,0.3967344046517973,0.0985298727393647,0.3171368643420106,0.0020130689138244,0.2362228003784295,0.823157344993816
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,audit,global,0.217,0.7835067801955219,0.3520743595556563,0.6590748337812986,0.803650353814093,0.7313625937976957,0.4589695596492956,0.4002836309487175,0.0986335595463105,0.317502391805793,0.0038791214659693,0.2608207190160833,0.8233706016627991
cdc_seed43_c5_iid_a0p5_calib_f1_optimal,cdc,43,5,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,audit,global,0.2,0.7898139388205614,0.3585425356102935,0.6445041731503749,0.8133373027686811,0.7289207379595279,0.4607605177993527,0.403159239933361,0.098994126757761,0.3193436464906966,0.0140984461090869,0.2504533270261747,0.8235286542747584
