dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,curve_type,point_id,class_label,curve_x_mean,curve_x_std,curve_x_ci95_low,curve_x_ci95_high,curve_x_n,curve_y_mean,curve_y_std,curve_y_ci95_low,curve_y_ci95_high,curve_y_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,47,,0.92,0.0,0.92,0.92,3,0.9986520673207041,0.00038033876326784365,0.9982216734934864,0.9990824611479218,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,48,,0.9400000000000001,0.0,0.9400000000000001,0.9400000000000001,3,0.9990839312809744,0.0002410650088117797,0.9988111405434242,0.9993567220185245,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,49,,0.96,0.0,0.96,0.96,3,0.9995508075912967,0.00015005469718147674,0.9993810047164673,0.999720610466126,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,50,,0.98,0.0,0.98,0.98,3,0.9999020994626967,8.49553872582571e-05,0.9998059633919195,0.9999982355334739,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,roc,51,,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,1,class_0,0.025000000000000005,4.2491873609703695e-18,0.025,0.02500000000000001,3,0.43706536591323725,0.02091640437568878,0.41339622618754257,0.4607345056389319,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,1,class_1,0.025000000000000005,4.2491873609703695e-18,0.025,0.02500000000000001,3,0.047390012731645205,0.008474786137077467,0.037799889418815485,0.056980136044474924,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,2,class_0,0.07500000000000001,0.0,0.07500000000000001,0.07500000000000001,3,0.17470095648124825,0.0327216983563914,0.1376728690266158,0.2117290439358807,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,2,class_1,0.07500000000000001,0.0,0.07500000000000001,0.07500000000000001,3,0.08483048050172114,0.019880588367141922,0.062333476932702775,0.1073274840707395,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,3,class_0,0.125,0.0,0.125,0.125,3,0.11467088037495898,0.03773576695327036,0.07196884016620564,0.15737292058371233,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,3,class_1,0.125,0.0,0.125,0.125,3,0.10534257556467204,0.0315669032695938,0.06962126176831364,0.14106388936103043,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,4,class_0,0.17500000000000002,0.0,0.17500000000000002,0.17500000000000002,3,0.08088487874138366,0.01272974074295146,0.0664798210218556,0.09528993646091172,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,4,class_1,0.17500000000000002,0.0,0.17500000000000002,0.17500000000000002,3,0.11331164238223229,0.029933659597536882,0.07943851778635394,0.14718476697811064,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,5,class_0,0.225,0.0,0.225,0.225,3,0.04425920412821276,0.022497486591969484,0.018800901445884147,0.06971750681054138,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,5,class_1,0.225,0.0,0.225,0.225,3,0.0830857735653322,0.034410741115831645,0.044146354298701944,0.12202519283196245,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,6,class_0,0.275,0.0,0.275,0.275,3,0.03700735108892298,0.008247741628015932,0.02767415282460568,0.04634054935324028,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,6,class_1,0.275,0.0,0.275,0.275,3,0.08666949592115812,0.01751473828870038,0.06684970374425478,0.10648928809806146,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,7,class_0,0.32500000000000007,0.0,0.32500000000000007,0.32500000000000007,3,0.03657987343608064,0.0014163848939893853,0.034977083044431694,0.03818266382772959,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,score_hist,7,class_1,0.32500000000000007,0.0,0.32500000000000007,0.32500000000000007,3,0.1084547555052577,0.003138857781042605,0.10490280355098522,0.11200670745953017,3
