dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,cell,count_mean,count_std,count_ci95_low,count_ci95_high,count_n
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TP,4153.666666666667,365.37971116816726,3740.2006004519035,4567.1327328814305,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FN,2812.3333333333335,367.39125375181885,2396.5909924003413,3228.0756742663257,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FP,7311.666666666667,1138.3849671061778,6023.462806954323,8599.87052637901,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TN,36355.333333333336,1138.3849671061778,35067.12947362099,37643.53719304568,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TP,4256.666666666667,367.3912537518188,3840.924325733675,4672.409007599659,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FN,2743.0,303.5012355823284,2399.556020676831,3086.443979323169,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FP,7463.0,983.5995119966256,6349.952371668969,8576.04762833103,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TN,36204.0,983.5995119966256,35090.952371668965,37317.047628331035,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TP,4326.0,303.5012355823284,3982.556020676831,4669.443979323169,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FN,2967.6666666666665,258.03940267589627,2675.667594217607,3259.665739115726,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,FP,6747.666666666667,726.9280111079318,5925.070184193165,7570.263149140169,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TN,36919.333333333336,726.9280111079318,36096.73685085984,37741.929815806834,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,TP,4101.333333333333,258.03940267589627,3809.3342608842736,4393.332405782393,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FN,2743.3333333333335,299.2863734508027,2404.658919511182,3082.007747155485,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FP,7460.0,972.9640281120367,6358.987554657078,8561.012445342922,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TN,36207.0,972.9640281120367,35105.98755465708,37308.01244534292,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TP,4325.666666666667,299.28637345080267,3986.992252844516,4664.341080488818,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,FN,2725.3333333333335,317.91875272360596,2365.574397501142,3085.092269165525,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,FP,7529.333333333333,1036.6302780323047,6356.275743992081,8702.390922674585,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TN,36137.666666666664,1036.6302780323047,34964.60907732541,37310.72425600792,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TP,4343.666666666667,317.918752723606,3983.907730834475,4703.425602498859,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FN,2611.6666666666665,387.52333263086666,2173.1427338597505,3050.1905994735826,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FP,7936.333333333333,1263.754063626833,6506.260985637439,9366.405681029226,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TN,35730.666666666664,1263.754063626833,34300.59431897077,37160.73901436256,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TP,4457.333333333333,387.52333263086666,4018.809400526417,4895.857266140249,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FN,2745.3333333333335,300.1038709069467,2405.7338340535034,3084.9328326131636,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FP,7446.333333333333,962.117109988869,6357.595331343057,8535.07133532361,3
