dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,global_eval_auc_mean,global_eval_auc_std,global_eval_auc_ci95_low,global_eval_auc_ci95_high,global_eval_auc_n,global_eval_f1_mean,global_eval_f1_std,global_eval_f1_ci95_low,global_eval_f1_ci95_high,global_eval_f1_n,global_eval_ece_mean,global_eval_ece_std,global_eval_ece_ci95_low,global_eval_ece_ci95_high,global_eval_ece_n,cumulative_communication_bytes_mean,cumulative_communication_bytes_std,cumulative_communication_bytes_ci95_low,cumulative_communication_bytes_ci95_high,cumulative_communication_bytes_n,round_communication_bytes_mean,round_communication_bytes_std,round_communication_bytes_ci95_low,round_communication_bytes_ci95_high,round_communication_bytes_n,params_bytes_mean,params_bytes_std,params_bytes_ci95_low,params_bytes_ci95_high,params_bytes_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,26,0.8241350306946769,0.0,0.8241350306946769,0.8241350306946769,1,0.2399287780992655,0.0,0.2399287780992655,0.2399287780992655,1,0.0105691380381475,0.0,0.0105691380381475,0.0105691380381475,1,27456.0,0.0,27456.0,27456.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,27,0.8241401395117849,0.0,0.8241401395117849,0.8241401395117849,1,0.2391715844560739,0.0,0.2391715844560739,0.2391715844560739,1,0.0108605425781572,0.0,0.0108605425781572,0.0108605425781572,1,28512.0,0.0,28512.0,28512.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,28,0.8241423424259469,0.0,0.8241423424259469,0.8241423424259469,1,0.2398487039715207,0.0,0.2398487039715207,0.2398487039715207,1,0.0106743847300455,0.0,0.0106743847300455,0.0106743847300455,1,29568.0,0.0,29568.0,29568.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,29,0.8241451835372998,0.0,0.8241451835372998,0.8241451835372998,1,0.2401868119648615,0.0,0.2401868119648615,0.2401868119648615,1,0.0104428705862968,0.0,0.0104428705862968,0.0104428705862968,1,30624.0,0.0,30624.0,30624.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,30,0.8241462137236285,0.0,0.8241462137236285,0.8241462137236285,1,0.2411915082805379,0.0,0.2411915082805379,0.2411915082805379,1,0.0101555536702176,0.0,0.0101555536702176,0.0101555536702176,1,31680.0,0.0,31680.0,31680.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,1,0.8134735621884056,0.004787472365913817,0.8080560272083771,0.8188910971684341,3,0.08871145214013006,0.09494825264071502,-0.018732610333424715,0.19615551461368483,3,0.0383861484971376,0.013661344225455327,0.022926882195662402,0.053845414798612795,3,1056.0,0.0,1056.0,1056.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,2,0.8176331479033578,0.004227300220684169,0.8128495073794574,0.8224167884272583,3,0.15661882221732007,0.07401725822900311,0.0728604096494618,0.24037723478517833,3,0.029314967331348436,0.012343393098980282,0.01534710312766555,0.04328283153503132,3,2112.0,0.0,2112.0,2112.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,3,0.819965274859344,0.0032513129810343468,0.816286067866697,0.823644481851991,3,0.18797110816363824,0.042773940962379374,0.1395678373589337,0.2363743789683428,3,0.024953069482018503,0.008990096645162926,0.01477981743449239,0.03512632152954462,3,3168.0,0.0,3168.0,3168.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,4,0.8213354507528284,0.0024532085321893795,0.8185593839642102,0.8241115175414466,3,0.20396919502528,0.029867043124498456,0.1701714540651384,0.2377669359854216,3,0.022547917606885334,0.007125060564107863,0.014485152562912414,0.030610682650858256,3,4224.0,0.0,4224.0,4224.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,5,0.8221961120381366,0.0018834853095924294,0.8200647477671411,0.8243274763091321,3,0.2096449663030152,0.02205477372534961,0.18468764039041133,0.2346022922156191,3,0.020861543579220432,0.0055757312330668935,0.01455200971967369,0.027171077438767174,3,5280.0,0.0,5280.0,5280.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,6,0.8227635157749371,0.001477750180695274,0.821091284024283,0.8244357475255912,3,0.21709220432757895,0.022270176627011445,0.19189112708538802,0.24229328156976987,3,0.0193803238454464,0.004945770464572284,0.013783657703667417,0.02497698998722538,3,6336.0,0.0,6336.0,6336.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,7,0.8231453758268694,0.0012401828177444072,0.821741976854878,0.8245487747988608,3,0.2199581471431955,0.018345807909518137,0.19919791115847504,0.24071838312791596,3,0.01823629915263447,0.004269557112932443,0.013404840453629295,0.023067757851639642,3,7392.0,0.0,7392.0,7392.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,8,0.8234147198782612,0.0010994503797018553,0.8221705746518054,0.824658865104717,3,0.22201869605063318,0.014596884071761344,0.20550076675223727,0.23853662534902909,3,0.017340251979110835,0.003728914304541873,0.013120588211186734,0.021559915747034936,3,8448.0,0.0,8448.0,8448.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,9,0.823605940386536,0.0010149523588137207,0.8224574136720876,0.8247544671009844,3,0.22456907774140866,0.012052258961251458,0.21093066282839032,0.238207492654427,3,0.016453116295345568,0.0029300621676123287,0.013137438820167466,0.01976879377052367,3,9504.0,0.0,9504.0,9504.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,10,0.8237447466557951,0.0009463664783862361,0.8226738321713404,0.8248156611402498,3,0.2286749585697181,0.011961878030703631,0.21513881930767928,0.2422110978317569,3,0.01586183413695527,0.0025382361498826438,0.012989549541128164,0.01873411873278237,3,10560.0,0.0,10560.0,10560.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,11,0.823859450452459,0.0009097956286584369,0.8228299197802765,0.8248889811246415,3,0.22838729808023772,0.009371373370476832,0.21778259080152,0.23899200535895546,3,0.015308454478946765,0.002036482130769756,0.013003958006403193,0.017612950951490337,3,11616.0,0.0,11616.0,11616.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,12,0.823942517594122,0.0008872027523814408,0.8229385531682121,0.8249464820200318,3,0.23121007919706518,0.009517614760203508,0.22043988420712574,0.24198027418700463,3,0.014831234015220601,0.0016974775198023207,0.012910357373338233,0.01675211065710297,3,12672.0,0.0,12672.0,12672.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,13,0.8239944545350691,0.0008825110540561809,0.8229957992656097,0.8249931098045286,3,0.23057072239264978,0.005948876446901696,0.22383893497338053,0.23730250981191903,3,0.014595667643075702,0.0013414981851190347,0.013077619540015798,0.016113715746135605,3,13728.0,0.0,13728.0,13728.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
