dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,client_left,client_right,top_k,spearman_top_feature_stability_mean,spearman_top_feature_stability_std,spearman_top_feature_stability_ci95_low,spearman_top_feature_stability_ci95_high,spearman_top_feature_stability_n,spearman_rank_correlation_mean,spearman_rank_correlation_std,spearman_rank_correlation_ci95_low,spearman_rank_correlation_ci95_high,spearman_rank_correlation_n,top_k_overlap_mean,top_k_overlap_std,top_k_overlap_ci95_low,top_k_overlap_ci95_high,top_k_overlap_n
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,3.0,,,,0.9727272727272727,0.0038961038961038974,0.9683184161261883,0.977136129328357,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,4.0,,,,0.9818181818181818,0.011321815437767935,0.969006341564389,0.9946300220719746,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,5.0,,,,0.9913419913419914,0.0032683265953552822,0.9876435316323205,0.9950404510516623,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,6.0,,,,0.989177489177489,0.010497277621629731,0.977298701298701,1.0010562770562772,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,7.0,,,,0.9939393939393938,0.001983799002145289,0.9916945140390967,0.9961842738396909,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,8.0,,,,0.9930735930735931,0.0029992221776084464,0.9896796536796537,0.9964675324675325,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,9.0,,,,0.9982683982683983,0.0019837990021454224,0.996023518368101,1.0005132781686956,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,10.0,,,,0.9961038961038963,0.0034360406637201856,0.9922156500596914,0.9999921421481012,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,11.0,,,,0.9952380952380953,0.004560889070499049,0.9900769633942058,1.0003992270819846,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,12.0,,,,0.993939393939394,0.004916803762597675,0.9883755067066529,0.9995032811721352,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,13.0,,,,0.9987012987012989,0.0012987012987011881,0.9972316798342709,1.0001709175683269,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,14.0,,,,0.9948051948051949,0.0034360406637203534,0.9909169487609898,0.9986934408494,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,15.0,,,,0.9965367965367965,0.002703462336969218,0.9934775409091299,0.9995960521644631,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,16.0,,,,0.9978354978354979,0.0027034623369690132,0.9947762422078315,1.0008947534631643,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,17.0,,,,0.9978354978354979,0.0027034623369690132,0.9947762422078315,1.0008947534631643,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,18.0,,,,0.9978354978354979,0.0027034623369690132,0.9947762422078315,1.0008947534631643,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,19.0,,,,0.9952380952380953,0.0007498055444020796,0.9943896103896105,0.99608658008658,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,20.0,,,,0.9965367965367967,0.003967598004290676,0.9920470367362024,1.001026556337391,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,21.0,,,,0.9991341991341992,0.0007498055444020796,0.9982857142857144,0.999982683982684,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,22.0,,,,0.9857142857142858,0.0,0.9857142857142858,0.9857142857142858,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,23.0,,,,0.9922077922077924,0.0,0.9922077922077924,0.9922077922077924,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,24.0,,,,0.9935064935064932,0.0,0.9935064935064932,0.9935064935064932,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,25.0,,,,0.9896103896103896,0.0,0.9896103896103896,0.9896103896103896,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,26.0,,,,0.9948051948051948,0.0,0.9948051948051948,0.9948051948051948,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,27.0,,,,0.996103896103896,0.0,0.996103896103896,0.996103896103896,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,28.0,,,,0.9909090909090909,0.0,0.9909090909090909,0.9909090909090909,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,29.0,,,,0.9896103896103896,0.0,0.9896103896103896,0.9896103896103896,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,30.0,,,,0.9857142857142858,0.0,0.9857142857142858,0.9857142857142858,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,31.0,,,,0.9844155844155844,0.0,0.9844155844155844,0.9844155844155844,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,,0.0,1.0,5.0,,0.0,,,0,0.9207792207792208,0.11696966492672943,0.7884155844155843,1.0531428571428572,3,1.0,0.0,1.0,1.0,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,,0.0,2.0,5.0,,0.0,,,0,0.9354978354978355,0.06013889210784544,0.8674442726252638,1.0035513983704072,3,1.0,0.0,1.0,1.0,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,,1.0,2.0,5.0,,0.0,,,0,0.9601731601731602,0.03362441078637474,0.9221235574402025,0.998222762906118,3,1.0,0.0,1.0,1.0,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,2.0,,,,,0.0,,,0,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,3.0,,,,0.9761904761904763,0.005998444355216893,0.9694025974025975,0.9829783549783551,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,4.0,,,,0.9783549783549784,0.007152689022449472,0.9702609487671983,0.9864490079427586,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,5.0,,,,0.9891774891774893,0.005856168510159577,0.9825506106645988,0.9958043676903797,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,6.0,,,,0.9883116883116881,0.00936506824795854,0.9777141159507695,0.9989092606726068,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,7.0,,,,0.9952380952380953,0.0007498055444020796,0.9943896103896105,0.99608658008658,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,8.0,,,,0.992207792207792,0.00468253412397927,0.9869090060273327,0.9975065783882513,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,9.0,,,,0.997835497835498,0.0007498055444020154,0.9969870129870132,0.9986839826839827,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,10.0,,,,0.9948051948051949,0.004682534123979224,0.9895064086247356,1.0001039809856542,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,11.0,,,,0.9956709956709958,0.004174740589174539,0.9909468319692005,1.000395159372791,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,12.0,,,,0.9935064935064934,0.004498833266412606,0.9884155844155844,0.9985974025974025,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,13.0,,,,0.9987012987012989,0.0012987012987011881,0.9972316798342709,1.0001709175683269,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,14.0,,,,0.9956709956709956,0.0019837990021456284,0.9934261157706981,0.9979158755712931,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,15.0,,,,0.9961038961038962,0.002249416633206623,0.9935584415584413,0.998649350649351,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,16.0,,,,0.9978354978354979,0.0027034623369690132,0.9947762422078315,1.0008947534631643,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,17.0,,,,0.9982683982683982,0.0029992221776084464,0.9948744588744588,1.0016623376623377,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,18.0,,,,0.9974025974025974,0.002249416633206367,0.9948571428571428,0.999948051948052,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,19.0,,,,0.9961038961038962,0.002249416633206367,0.9935584415584415,0.9986493506493508,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,20.0,,,,0.9965367965367967,0.003749027722010462,0.9922943722943726,1.0007792207792208,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,21.0,,,,0.9987012987012989,0.0012987012987011881,0.9972316798342709,1.0001709175683269,3,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,22.0,,,,0.9857142857142858,0.0,0.9857142857142858,0.9857142857142858,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,23.0,,,,0.9922077922077924,0.0,0.9922077922077924,0.9922077922077924,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,24.0,,,,0.9935064935064932,0.0,0.9935064935064932,0.9935064935064932,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,25.0,,,,0.9896103896103896,0.0,0.9896103896103896,0.9896103896103896,1,,0.0,,,0,,0.0,,,0
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,26.0,,,,0.9948051948051948,0.0,0.9948051948051948,0.9948051948051948,1,,0.0,,,0,,0.0,,,0
