dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,client_id,feature,method,rank_mean,rank_std,rank_ci95_low,rank_ci95_high,rank_n,contribution_mean,contribution_std,contribution_ci95_low,contribution_ci95_high,contribution_n
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,Education,single_feature_probability_delta,12.0,7.937253933193772,3.018151637886554,20.981848362113446,3,-0.0005666140156487333,0.0007541202817587614,-0.001419981449091297,0.0002867534177938304,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,GenHlth,single_feature_probability_delta,12.666666666666666,9.237604307034013,2.213333333333331,23.12,3,0.0792704919974009,0.13730051968048046,-0.07609967231750488,0.23464065631230668,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,HeartDiseaseorAttack,single_feature_probability_delta,12.666666666666666,1.5275252316519468,10.9381091434378,14.395224189895533,3,0.0,0.0,0.0,0.0,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,HighChol,single_feature_probability_delta,13.0,8.888194417315589,2.942061178684108,23.057938821315894,3,0.07289241751035054,0.1262533706144504,-0.06997672080993651,0.2157615558306376,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,Smoker,single_feature_probability_delta,15.0,0.0,15.0,15.0,3,0.0,0.0,0.0,0.0,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,Stroke,single_feature_probability_delta,15.666666666666666,2.8867513459481287,12.399999999999999,18.933333333333334,3,0.0,0.0,0.0,0.0,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,HvyAlcoholConsump,single_feature_probability_delta,16.666666666666668,3.2145502536643185,13.029060616284386,20.30427271704895,3,0.0,0.0,0.0,0.0,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,NoDocbcCost,single_feature_probability_delta,17.0,0.0,17.0,17.0,3,0.0,0.0,0.0,0.0,3
cdc,audit,shared,shared,shared,centralized,not_applicable,xgboost,none,calib_f1_optimal,global,DiffWalk,single_feature_probability_delta,20.333333333333332,0.5773502691896258,19.68,20.986666666666665,3,0.0,0.0,0.0,0.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,Age,linear_shap_approximation,1.3333333333333333,0.5773502691896257,0.6799999999999999,1.9866666666666666,3,-0.46726923483059907,0.19990141978000328,-0.6934789863324907,-0.24105948332870744,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,Age,linear_shap_approximation,1.3333333333333333,0.5773502691896257,0.6799999999999999,1.9866666666666666,3,-0.46632508447454324,0.1990345120465742,-0.6915538375264495,-0.24109633142263698,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,Age,linear_shap_approximation,1.3333333333333333,0.5773502691896257,0.6799999999999999,1.9866666666666666,3,-0.45610691563006084,0.16463276774002442,-0.6424064302634478,-0.26980740099667383,3
cdc,audit,3,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,Age,linear_shap_approximation,1.3333333333333333,0.5773502691896257,0.6799999999999999,1.9866666666666666,3,-0.45501503039968566,0.16361895635421886,-0.6401673094511281,-0.2698627513482432,3
cdc,audit,5,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,Age,linear_shap_approximation,1.3333333333333333,0.5773502691896257,0.6799999999999999,1.9866666666666666,3,-0.4527502887630037,0.18664702236372976,-0.6639612776290811,-0.2415392998969264,3
cdc,audit,5,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,Age,linear_shap_approximation,1.3333333333333333,0.5773502691896257,0.6799999999999999,1.9866666666666666,3,-0.46334728342027964,0.20566117078247625,-0.6960748067539875,-0.23061976008657178,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,HighBP,linear_shap_approximation,1.3333333333333333,0.5773502691896257,0.6799999999999999,1.9866666666666666,3,-0.09224535598189106,0.39465598274944264,-0.5388406422221577,0.3543499302583755,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,HighBP,linear_shap_approximation,1.3333333333333333,0.5773502691896257,0.6799999999999999,1.9866666666666666,3,-0.09111862151392604,0.39591937117637455,-0.5391435663450178,0.3569063233171657,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,HighBP,linear_shap_approximation,1.6666666666666667,0.5773502691896257,1.0133333333333334,2.3200000000000003,3,-0.06756287263199773,0.4339740117280105,-0.5586506971172363,0.42352495185324085,3
cdc,audit,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,global,HighBP,linear_shap_approximation,1.6666666666666667,0.5773502691896257,1.0133333333333334,2.3200000000000003,3,-0.06746625623081563,0.43388487460282915,-0.5584532125633465,0.4235207001017152,3
cdc,audit,3,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,global,HighBP,linear_shap_approximation,1.6666666666666667,0.5773502691896257,1.0133333333333334,2.3200000000000003,3,-0.06878083022032587,0.4355283604489093,-0.5616275658643184,0.4240659054236667,3
