dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,bin,lower,upper,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,avg_predicted_risk_mean,avg_predicted_risk_std,avg_predicted_risk_ci95_low,avg_predicted_risk_ci95_high,avg_predicted_risk_n,observed_event_rate_mean,observed_event_rate_std,observed_event_rate_ci95_low,observed_event_rate_ci95_high,observed_event_rate_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,3,0.2,0.3,3659.2,67.77315102605161,3599.794213884504,3718.6057861154954,5,0.24450141074191722,0.0006428917805791687,0.24393789125028528,0.24506493023354917,5,0.31482945728666234,0.008217939833538626,0.30762611542236645,0.3220327991509582,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,4,0.3,0.4,1944.0,61.57921727336261,1890.0234361968085,1997.9765638031915,5,0.3458840214003369,0.0007297342315958856,0.345244381144173,0.34652366165650084,5,0.38414341516409645,0.010682265175140272,0.37477999689866187,0.393506833429531,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,5,0.4,0.5,1248.0,26.391286440793294,1224.8670174858494,1271.1329825141506,5,0.44572125430945436,0.000838818296530979,0.44498599765458335,0.44645651096432537,5,0.4265588009133906,0.008969475704560801,0.41869670881340176,0.43442089301337944,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,6,0.5,0.6000000000000001,913.0,17.073371078963874,898.0345304116443,927.9654695883557,5,0.5485763454352449,0.0011973732508050606,0.5475268015058148,0.549625889364675,5,0.48858350569674,0.029585620654370898,0.4626505657923795,0.5145164456011004,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,7,0.6000000000000001,0.7000000000000001,679.4,23.49042358068496,658.8097358929032,699.9902641070968,5,0.6470844009716773,0.0008267646805822179,0.6463597097770236,0.647809092166331,5,0.5195796258294377,0.0177180495454807,0.5040490706501753,0.5351101810087001,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,8,0.7000000000000001,0.8,474.0,34.978564864785405,443.339936073126,504.660063926874,5,0.7466177147663902,0.0005872857706098,0.7461029360915118,0.7471324934412685,5,0.5594615225897419,0.013937555227053483,0.547244716786025,0.5716783283934588,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,9,0.8,0.9,232.4,22.63404515326414,212.5603846811487,252.23961531885132,5,0.841781812631675,0.0030831342372291118,0.8390793263183001,0.8444842989450498,5,0.6145285923883723,0.02082700235124279,0.596272919922601,0.6327842648541436,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,10,0.9,1.0,48.0,8.774964387392123,40.30840458682336,55.69159541317664,5,0.9247280822585612,0.0023995808084293045,0.9226247569429417,0.9268314075741807,5,0.4891420581088831,0.06415512008993124,0.43290761593558963,0.5453765002821765,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,1,0.0,0.1,26869.0,824.3703657944043,26146.40751479136,27591.59248520864,5,0.031321399277124504,0.0021086720249116546,0.029473066753062306,0.0331697318011867,5,0.03204882487556778,0.002606458077512094,0.029764163638374162,0.0343334861127614,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,2,0.1,0.2,10252.6,1168.0983691453387,9228.716635736277,11276.483364263724,5,0.14623947674161647,0.0063396777109806105,0.14068250421727685,0.1517964492659561,5,0.14418953809715598,0.004805619934535471,0.1399772265008774,0.14840184969343456,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,3,0.2,0.3,5494.4,504.9681178054709,5051.775929149803,5937.024070850196,5,0.24760873077825765,0.01048396318636187,0.23841913186979996,0.25679832968671534,5,0.2517045484708281,0.011515973545270395,0.24161035259849709,0.26179874434315914,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,4,0.3,0.4,3990.4,481.1229572572899,3568.677133918494,4412.122866081506,5,0.342569164738419,0.014543890368768695,0.32982088274984545,0.3553174467269925,5,0.34383499218244284,0.010663215039630943,0.3344882720970162,0.3531817122678695,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,5,0.4,0.5,2714.2,522.1625225923439,2256.5043688388537,3171.895631161146,5,0.4495714603239582,0.01217955737471192,0.43889560757947804,0.4602473130684384,5,0.4430534025841818,0.01685951963330456,0.42827538205270177,0.45783142311566183,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,6,0.5,0.6000000000000001,1006.8,416.4375103181749,641.776428070734,1371.8235719292659,5,0.5490036611599948,0.019709107137560678,0.5317278670525133,0.5662794552674763,5,0.5335311671305287,0.026123555477891105,0.5106328611524086,0.5564294731086489,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,7,0.6000000000000001,0.7000000000000001,407.4,225.88448375220463,209.40352019290847,605.3964798070915,5,0.633713414283805,0.019258114910616807,0.6168329322928175,0.6505938962747925,5,0.5967203194174767,0.019457444213158204,0.5796651175892963,0.6137755212456572,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,8,0.7000000000000001,0.8,1.0,2.23606797749979,-0.9599999999999997,2.96,5,0.75,0.0,0.75,0.75,1,0.6,0.0,0.6,0.6,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,9,0.8,0.9,0.0,0.0,0.0,0.0,5,,0.0,,,0,,0.0,,,0
