dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,client_id,feature,method,rank_mean,rank_std,rank_ci95_low,rank_ci95_high,rank_n,mean_abs_shap_mean,mean_abs_shap_std,mean_abs_shap_ci95_low,mean_abs_shap_ci95_high,mean_abs_shap_n
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,calib_f1_optimal,global,AnyHealthcare,linear_logit_attribution_fallback,20.2,0.8366600265340756,19.466635152192307,20.93336484780769,5,5.1410717894912554e-05,2.5111077859436953e-05,2.939988767877211e-05,7.342154811105299e-05,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,none,fixed_0p5,global,AnyHealthcare,linear_logit_attribution_fallback,20.2,0.8366600265340756,19.466635152192307,20.93336484780769,5,5.1410717894912554e-05,2.5111077859436953e-05,2.939988767877211e-05,7.342154811105299e-05,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,GenHlth,shap,1.0,0.0,1.0,1.0,5,0.515534674854387,0.016486851008002554,0.5010833127755756,0.5299860369331983,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,GenHlth,shap,1.0,0.0,1.0,1.0,5,0.515534674854387,0.016486851008002554,0.5010833127755756,0.5299860369331983,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,Age,shap,2.2,0.4472135954999579,1.8080000000000003,2.592,5,0.37469046199397243,0.00812782589364573,0.3675661084806423,0.38181481550730256,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,Age,shap,2.2,0.4472135954999579,1.8080000000000003,2.592,5,0.37469046199397243,0.00812782589364573,0.3675661084806423,0.38181481550730256,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,BMI,shap,3.4,0.8944271909999159,2.616,4.184,5,0.34202052346532497,0.030760707513030068,0.3150575745155565,0.36898347241509344,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,HighBP,shap,3.4,0.5477225575051661,2.919900010414497,3.880099989585503,5,0.3578333876468884,0.00666702856855512,0.3519894794446972,0.36367729584907954,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,BMI,shap,3.4,0.8944271909999159,2.616,4.184,5,0.34202052346532497,0.030760707513030068,0.3150575745155565,0.36898347241509344,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,HighBP,shap,3.4,0.5477225575051661,2.919900010414497,3.880099989585503,5,0.3578333876468884,0.00666702856855512,0.3519894794446972,0.36367729584907954,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,HighChol,shap,5.0,0.0,5.0,5.0,5,0.28671873108236123,0.009364692283125895,0.27851021637725387,0.2949272457874686,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,HighChol,shap,5.0,0.0,5.0,5.0,5,0.28671873108236123,0.009364692283125895,0.27851021637725387,0.2949272457874686,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,Sex,shap,6.0,0.0,6.0,6.0,5,0.14202828075934232,0.007947031039365407,0.13506240092300015,0.1489941605956845,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,Sex,shap,6.0,0.0,6.0,6.0,5,0.14202828075934232,0.007947031039365407,0.13506240092300015,0.1489941605956845,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,Income,shap,7.4,0.5477225575051662,6.919900010414497,7.880099989585504,5,0.10172270657212515,0.005016170627495557,0.09732583915627656,0.10611957398797374,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,Income,shap,7.4,0.5477225575051662,6.919900010414497,7.880099989585504,5,0.10172270657212515,0.005016170627495557,0.09732583915627656,0.10611957398797374,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,CholCheck,shap,8.0,1.0,7.123461352820082,8.876538647179917,5,0.08585124491416778,0.01720014356298914,0.07077465434416491,0.10092783548417064,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,CholCheck,shap,8.0,1.0,7.123461352820082,8.876538647179917,5,0.08585124491416778,0.01720014356298914,0.07077465434416491,0.10092783548417064,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,HvyAlcoholConsump,shap,8.8,0.8366600265340756,8.066635152192308,9.533364847807693,5,0.07272335731064232,0.021692352913595166,0.05370917163361027,0.09173754298767436,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,HvyAlcoholConsump,shap,8.8,0.8366600265340756,8.066635152192308,9.533364847807693,5,0.07272335731064232,0.021692352913595166,0.05370917163361027,0.09173754298767436,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,PhysHlth,shap,10.4,0.5477225575051661,9.919900010414498,10.880099989585503,5,0.041763556241350835,0.005589989650518803,0.036863714275335344,0.04666339820736633,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,PhysHlth,shap,10.4,0.5477225575051661,9.919900010414498,10.880099989585503,5,0.041763556241350835,0.005589989650518803,0.036863714275335344,0.04666339820736633,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,HeartDiseaseorAttack,shap,10.8,1.3038404810405297,9.657133428610322,11.942866571389679,5,0.04537961454032452,0.014296976794119301,0.03284776184244451,0.05791146723820453,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,HeartDiseaseorAttack,shap,10.8,1.3038404810405297,9.657133428610322,11.942866571389679,5,0.04537961454032452,0.014296976794119301,0.03284776184244451,0.05791146723820453,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,Education,shap,12.2,0.8366600265340756,11.466635152192307,12.933364847807692,5,0.03145767612507336,0.003865964228356431,0.02806900907030386,0.03484634317984286,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,Education,shap,12.2,0.8366600265340756,11.466635152192307,12.933364847807692,5,0.03145767612507336,0.003865964228356431,0.02806900907030386,0.03484634317984286,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,DiffWalk,shap,13.4,1.1401754250991378,12.400592175335815,14.399407824664186,5,0.028782674483646457,0.005510369201613534,0.023952622918202247,0.033612726049090665,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,DiffWalk,shap,13.4,1.1401754250991378,12.400592175335815,14.399407824664186,5,0.028782674483646457,0.005510369201613534,0.023952622918202247,0.033612726049090665,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,Fruits,shap,13.8,1.9235384061671343,12.113944247659646,15.486055752340356,5,0.02242281667333042,0.00759952555156527,0.015761538827152182,0.02908409451950866,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,Fruits,shap,13.8,1.9235384061671343,12.113944247659646,15.486055752340356,5,0.02242281667333042,0.00759952555156527,0.015761538827152182,0.02908409451950866,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,MentHlth,shap,15.8,1.6431676725154984,14.359700031243491,17.24029996875651,5,0.01603479234391628,0.005879272973141542,0.010881382365637342,0.021188202322195218,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,PhysActivity,shap,15.8,1.4832396974191326,14.499883082180684,17.100116917819317,5,0.01747730883400448,0.004466601868086804,0.01356215967506038,0.02139245799294858,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,MentHlth,shap,15.8,1.6431676725154984,14.359700031243491,17.24029996875651,5,0.01603479234391628,0.005879272973141542,0.010881382365637342,0.021188202322195218,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,PhysActivity,shap,15.8,1.4832396974191326,14.499883082180684,17.100116917819317,5,0.01747730883400448,0.004466601868086804,0.01356215967506038,0.02139245799294858,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,calib_f1_optimal,global,Veggies,shap,17.2,2.588435821108957,14.931135967053116,19.468864032946883,5,0.01241563811204902,0.007424590837802078,0.005907697303217578,0.018923578920880466,5
cdc,audit,shared,shared,shared,centralized,not_applicable,logistic_regression,none,fixed_0p5,global,Veggies,shap,17.2,2.588435821108957,14.931135967053116,19.468864032946883,5,0.01241563811204902,0.007424590837802078,0.005907697303217578,0.018923578920880466,5
