dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,cell,count_mean,count_std,count_ci95_low,count_ci95_high,count_n
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_isotonic,calib_f1_optimal,TP,4090.6,323.4645266485956,3807.070841400748,4374.129158599252,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_isotonic,fixed_0p5,FN,6246.0,198.7775138188422,6071.763826947445,6420.236173052555,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_isotonic,fixed_0p5,FP,689.2,203.80186456458145,510.55978934181707,867.840210658183,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_isotonic,fixed_0p5,TN,42977.8,203.80186456458145,42799.15978934182,43156.44021065818,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_isotonic,fixed_0p5,TP,823.0,198.7775138188422,648.7638269474447,997.2361730525552,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FN,2894.4,314.12863607127576,2619.0541102976117,3169.745889702389,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,FP,7012.6,981.1754685070352,6152.561782188722,7872.638217811279,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TN,36654.4,981.1754685070352,35794.361782188724,37514.43821781128,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,calib_f1_optimal,TP,4174.6,314.1286360712757,3899.254110297612,4449.945889702389,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,fixed_0p5,FN,5796.6,32.66955769519998,5767.963870093883,5825.236129906118,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,fixed_0p5,FP,1171.6,48.94180217360206,1128.7006189322035,1214.499381067796,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,fixed_0p5,TN,42495.4,48.94180217360206,42452.50061893221,42538.299381067794,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,global_sigmoid,fixed_0p5,TP,1272.4,32.66955769519998,1243.7638700938833,1301.036129906117,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FN,2778.2,304.4761074370204,2511.314924688547,3045.085075311453,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,FP,7376.6,1001.5194955666116,6498.729456231729,8254.470543768271,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TN,36290.4,1001.5194955666116,35412.52945623173,37168.270543768274,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,none,calib_f1_optimal,TP,4290.8,304.4761074370204,4023.914924688547,4557.685075311453,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,none,fixed_0p5,FN,5941.8,15.43372929657638,5928.271739801438,5955.328260198562,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,none,fixed_0p5,FP,998.4,41.494577959053885,962.0283987704692,1034.7716012295307,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,none,fixed_0p5,TN,42668.6,41.494577959053885,42632.22839877047,42704.97160122953,5
cdc,showcase,3,iid,0.5,federated,fedprox,logistic,none,fixed_0p5,TP,1127.2,15.43372929657638,1113.671739801438,1140.728260198562,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FN,2817.6,426.7133698397556,2443.569240067077,3191.630759932923,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,FP,7334.2,1281.5961532401695,6210.831441607876,8457.568558392124,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TN,36332.8,1281.596153240169,35209.43144160788,37456.16855839213,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,calib_f1_optimal,TP,4251.4,426.7133698397556,3877.3692400670766,4625.430759932923,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,FN,6716.4,346.1485230359939,6412.987441894703,7019.812558105296,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,FP,285.4,296.362615726073,25.62671373676619,545.1732862632338,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,TN,43381.6,296.362615726073,43121.826713736766,43641.37328626323,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_isotonic,fixed_0p5,TP,352.6,346.1485230359939,49.187441894703454,656.0125581052966,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FN,2807.8,298.83473693665536,2545.859803955178,3069.7401960448224,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,FP,7322.0,972.9473264262564,6469.174066717012,8174.825933282988,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TN,36345.0,972.9473264262564,35492.17406671701,37197.82593328299,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,TP,4261.2,298.83473693665536,3999.2598039551776,4523.140196044822,5
cdc,showcase,3,non_iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,FN,6365.4,624.275019522646,5818.198818919403,6912.601181080597,5
