dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,group_feature,group_value,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,selection_rate_mean,selection_rate_std,selection_rate_ci95_low,selection_rate_ci95_high,selection_rate_n,true_positive_rate_mean,true_positive_rate_std,true_positive_rate_ci95_low,true_positive_rate_ci95_high,true_positive_rate_n,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_ci95_low,false_positive_rate_ci95_high,false_positive_rate_n,demographic_parity_difference_mean,demographic_parity_difference_std,demographic_parity_difference_ci95_low,demographic_parity_difference_ci95_high,demographic_parity_difference_n,equalized_odds_difference_mean,equalized_odds_difference_std,equalized_odds_difference_ci95_low,equalized_odds_difference_ci95_high,equalized_odds_difference_n
cdc,audit,shared,shared,shared,centralized,not_applicable,decision_tree,isotonic,calib_f1_optimal,sex,female,28467.6,45.72526653831555,28427.52003672656,28507.67996327344,5,0.2288085079552749,0.0249846837127364,0.2069084670934948,0.250708548817055,5,0.6322786258547722,0.0427764460237959,0.5947834177259094,0.6697738339836351,5,0.1687193988019136,0.0222030067381387,0.1492576053123389,0.1881811922914883,5,0.0072669716977471,0.0041350945613752,0.0036424015049582,0.0108915418905361,5,0.0515643395146963,0.0073718547782317,0.0451026239001782,0.0580260551292143,5
cdc,audit,shared,shared,shared,centralized,not_applicable,decision_tree,none,calib_f1_optimal,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.51456296317,5,0.1567243034281665,0.0164559327741334,0.1423000423762439,0.1711485644800891,5,0.515900276771324,0.0417749304516523,0.4792829357471975,0.5525176177954504,5,0.1128076060319528,0.0141805015246919,0.1003778484091666,0.125237363654739,5,0.3174956962171822,0.0418446557683367,0.2808172382582949,0.3541741541760694,5,0.4272659798534844,0.0633724964743365,0.3717175375254554,0.4828144221815135,5
cdc,audit,shared,shared,shared,centralized,not_applicable,decision_tree,none,calib_f1_optimal,bmi_category,healthy,17133.0,74.89659538323488,17067.3502396044,17198.6497603956,5,0.0577028429083036,0.0246884494332475,0.0360624628411149,0.0793432229754922,5,0.2528858590266388,0.0841884338625688,0.1790914431005467,0.3266802749527308,5,0.0448811435329115,0.020911144671764,0.0265517170713399,0.0632105699944831,5,0.4072834509271744,0.0136469982241346,0.3953213295657247,0.4192455722886242,5,0.5459673793855326,0.0474567582104273,0.5043696967442203,0.587565062026845,5
cdc,audit,shared,shared,shared,centralized,not_applicable,decision_tree,none,calib_f1_optimal,sex,female,28467.6,45.72526653831555,28427.52003672656,28507.67996327344,5,0.2208886069916744,0.0255079187332193,0.198529930412883,0.2432472835704658,5,0.617983425015592,0.0411904493809399,0.5818784042384901,0.6540884457926939,5,0.1617553702934951,0.0231583902946605,0.1414561461937488,0.1820545943932414,5,0.0079211466194328,0.0049358115084181,0.0035947170771089,0.0122475761617567,5,0.0505336705738278,0.0086006757876056,0.0429948458541269,0.0580724952935288,5
cdc,audit,shared,shared,shared,centralized,not_applicable,decision_tree,sigmoid,calib_f1_optimal,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.51456296317,5,0.1554087443409392,0.015457876754674,0.1418593179621233,0.1689581707197551,5,0.5128551605543669,0.0398613581897249,0.4779151395719912,0.5477951815367426,5,0.1116997661203644,0.0131981558737415,0.1001310724255253,0.1232684598152035,5,0.3173974303882176,0.0401476591218202,0.2822064555741369,0.3525884052022984,5,0.4268675005607181,0.0529403232424325,0.3804632612445287,0.4732717398769075,5
cdc,audit,shared,shared,shared,centralized,not_applicable,decision_tree,sigmoid,calib_f1_optimal,bmi_category,healthy,17133.0,74.89659538323488,17067.3502396044,17198.6497603956,5,0.0550968281331305,0.0213155761892032,0.0364129018163858,0.0737807544498752,5,0.2449376150340325,0.0749350139300359,0.1792541792973905,0.3106210507706745,5,0.0426339525216756,0.0180019188662898,0.0268545749119752,0.0584133301313759,5,0.4104404365190939,0.0171204406843821,0.3954337086024815,0.4254471644357063,5,0.5529487752645014,0.0451206079964374,0.5133988185713687,0.592498731957634,5
cdc,audit,shared,shared,shared,centralized,not_applicable,decision_tree,sigmoid,calib_f1_optimal,sex,female,28467.6,45.72526653831555,28427.52003672656,28507.67996327344,5,0.2204279063639471,0.0251203566008309,0.1984089429723776,0.2424468697555165,5,0.6175185282000231,0.0424234170302574,0.5803327636275717,0.6547042927724744,5,0.1612925354527429,0.0224691931149313,0.1415974193165567,0.1809876515889291,5,0.0077495934350872,0.0048074245561866,0.0035357000181879,0.0119634868519866,5,0.0519915235147482,0.0074226544654706,0.0454852800111005,0.0584977670183958,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,age_group,40_59,18603.8,190.1964773595978,18437.085437036832,18770.51456296317,5,0.1528794920826491,0.0184738450494802,0.1366864529347662,0.1690725312305319,5,0.5275130153509378,0.0347645999131153,0.4970404999733445,0.557985530728531,5,0.1070180323457788,0.0159955701411327,0.0929972969333989,0.1210387677581588,5,0.3275188902581265,0.0324740574889476,0.2990541238383215,0.3559836566779316,5,0.4784217571487887,0.0598775667276059,0.4259367558129477,0.5309067584846296,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,bmi_category,healthy,17133.0,74.89659538323488,17067.3502396044,17198.6497603956,5,0.0507627787834789,0.0142285979019894,0.038290862827202,0.0632346947397557,5,0.2521039091441929,0.0529890066700184,0.2056569969222472,0.2985508213661385,5,0.0374760921472821,0.0116052070267045,0.0273036796798517,0.0476485046147126,5,0.4237773571953151,0.0137943843470736,0.4116860462010513,0.4358686681895788,5,0.5849598134077515,0.0646918052048147,0.5282549459898964,0.6416646808256066,5
cdc,audit,shared,shared,shared,centralized,not_applicable,gradient_boosting,isotonic,calib_f1_optimal,sex,female,28467.6,45.72526653831555,28427.52003672656,28507.67996327344,5,0.2070622400650443,0.0228818941757102,0.1870053754993532,0.2271191046307355,5,0.6105978949322913,0.0416025471767198,0.5741316545107706,0.647064135353812,5,0.1469889713201953,0.0205343286885373,0.128989838630797,0.1649881040095936,5,0.0395923232328364,0.0026605809655614,0.0372602211925706,0.0419244252731023,5,0.0337122307603084,0.002176788082789,0.0318041918790231,0.0356202696415937,5
