dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,bin,lower,upper,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,avg_predicted_risk_mean,avg_predicted_risk_std,avg_predicted_risk_ci95_low,avg_predicted_risk_ci95_high,avg_predicted_risk_n,observed_event_rate_mean,observed_event_rate_std,observed_event_rate_ci95_low,observed_event_rate_ci95_high,observed_event_rate_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,4,0.3,0.4,1944.0,61.57921727336261,1890.0234361968085,1997.9765638031915,5,0.3458840214003369,0.0007297342315958,0.345244381144173,0.3465236616565008,5,0.3841434151640964,0.0106822651751402,0.3747799968986618,0.393506833429531,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,5,0.4,0.5,1248.0,26.39128644079329,1224.8670174858494,1271.1329825141506,5,0.4457212543094543,0.0008388182965309,0.4449859976545833,0.4464565109643253,5,0.4265588009133906,0.0089694757045608,0.4186967088134017,0.4344208930133794,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,6,0.5,0.6000000000000001,913.0,17.073371078963874,898.0345304116443,927.9654695883556,5,0.5485763454352449,0.001197373250805,0.5475268015058148,0.549625889364675,5,0.48858350569674,0.0295856206543708,0.4626505657923795,0.5145164456011004,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,7,0.6000000000000001,0.7000000000000001,679.4,23.49042358068496,658.8097358929032,699.9902641070968,5,0.6470844009716773,0.0008267646805822,0.6463597097770236,0.647809092166331,5,0.5195796258294377,0.0177180495454807,0.5040490706501753,0.5351101810087001,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,8,0.7000000000000001,0.8,474.0,34.978564864785405,443.339936073126,504.660063926874,5,0.7466177147663902,0.0005872857706098,0.7461029360915118,0.7471324934412685,5,0.5594615225897419,0.0139375552270534,0.547244716786025,0.5716783283934588,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,9,0.8,0.9,232.4,22.63404515326414,212.5603846811487,252.2396153188513,5,0.841781812631675,0.0030831342372291,0.8390793263183001,0.8444842989450498,5,0.6145285923883723,0.0208270023512427,0.596272919922601,0.6327842648541436,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,calib_f1_optimal,10,0.9,1.0,48.0,8.774964387392123,40.30840458682336,55.69159541317664,5,0.9247280822585612,0.0023995808084293,0.9226247569429415,0.9268314075741808,5,0.4891420581088831,0.0641551200899312,0.4329076159355896,0.5453765002821765,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,1,0.0,0.1,31612.4,252.89681690365344,31390.726166235167,31834.07383376484,5,0.0648874706476255,0.0006477144113346,0.0643197239337553,0.0654552173614957,5,0.0443261519420503,0.0011134370057621,0.0433501813752995,0.0453021225088011,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,2,0.1,0.2,9925.6,191.44790414104824,9757.788513098776,10093.411486901225,5,0.1389368190766112,0.0002169078116221,0.1387466909968492,0.1391269471563732,5,0.202181579163637,0.0040601644906938,0.1986226880736362,0.2057404702536378,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,3,0.2,0.3,3659.2,67.77315102605161,3599.794213884504,3718.605786115496,5,0.2445014107419172,0.0006428917805791,0.2439378912502852,0.2450649302335491,5,0.3148294572866623,0.0082179398335386,0.3076261154223664,0.3220327991509582,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,4,0.3,0.4,1944.0,61.57921727336261,1890.0234361968085,1997.9765638031915,5,0.3458840214003369,0.0007297342315958,0.345244381144173,0.3465236616565008,5,0.3841434151640964,0.0106822651751402,0.3747799968986618,0.393506833429531,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,5,0.4,0.5,1248.0,26.39128644079329,1224.8670174858494,1271.1329825141506,5,0.4457212543094543,0.0008388182965309,0.4449859976545833,0.4464565109643253,5,0.4265588009133906,0.0089694757045608,0.4186967088134017,0.4344208930133794,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,6,0.5,0.6000000000000001,913.0,17.073371078963874,898.0345304116443,927.9654695883556,5,0.5485763454352449,0.001197373250805,0.5475268015058148,0.549625889364675,5,0.48858350569674,0.0295856206543708,0.4626505657923795,0.5145164456011004,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,7,0.6000000000000001,0.7000000000000001,679.4,23.49042358068496,658.8097358929032,699.9902641070968,5,0.6470844009716773,0.0008267646805822,0.6463597097770236,0.647809092166331,5,0.5195796258294377,0.0177180495454807,0.5040490706501753,0.5351101810087001,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,8,0.7000000000000001,0.8,474.0,34.978564864785405,443.339936073126,504.660063926874,5,0.7466177147663902,0.0005872857706098,0.7461029360915118,0.7471324934412685,5,0.5594615225897419,0.0139375552270534,0.547244716786025,0.5716783283934588,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,9,0.8,0.9,232.4,22.63404515326414,212.5603846811487,252.2396153188513,5,0.841781812631675,0.0030831342372291,0.8390793263183001,0.8444842989450498,5,0.6145285923883723,0.0208270023512427,0.596272919922601,0.6327842648541436,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,federated_sigmoid,fixed_0p5,10,0.9,1.0,48.0,8.774964387392123,40.30840458682336,55.69159541317664,5,0.9247280822585612,0.0023995808084293,0.9226247569429415,0.9268314075741808,5,0.4891420581088831,0.0641551200899312,0.4329076159355896,0.5453765002821765,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,1,0.0,0.1,26869.0,824.3703657944043,26146.40751479136,27591.59248520864,5,0.0313213992771245,0.0021086720249116,0.0294730667530623,0.0331697318011867,5,0.0320488248755677,0.002606458077512,0.0297641636383741,0.0343334861127614,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,2,0.1,0.2,10252.6,1168.098369145339,9228.716635736277,11276.483364263724,5,0.1462394767416164,0.0063396777109806,0.1406825042172768,0.1517964492659561,5,0.1441895380971559,0.0048056199345354,0.1399772265008774,0.1484018496934345,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_isotonic,calib_f1_optimal,3,0.2,0.3,5494.4,504.9681178054709,5051.775929149803,5937.024070850196,5,0.2476087307782576,0.0104839631863618,0.2384191318697999,0.2567983296867153,5,0.2517045484708281,0.0115159735452703,0.241610352598497,0.2617987443431591,5
